CODIGO;MUNICIPIO;MUNICIPALES_PRIMERA;PARTICULARES_PRIMERA;SUBVENCIONADOS_PRIMERA;450_MUNICIPALES;450_PARTICULARES;450_SUBVENCIONADOS
12302;PRIMAVERA;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
12303;TIMAUKEL;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
12401;NATALES;119;0;114;54;0;78
12402;TORRES DEL PAINE;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
13101;SANTIAGO;3364;789;3155;2294;661;2063
13102;CERRILLOS;33;0;476;8;0;315
13103;CERRO NAVIA;174;0;222;53;0;94
13104;CONCHALÍ;132;0;213;68;0;116
13105;EL BOSQUE;159;45;1035;48;38;681
13106;ESTACIÓN CENTRAL;346;65;614;119;65;381
13107;HUECHURABA;39;356;133;10;335;74
13108;INDEPENDENCIA;206;70;624;116;63;319
13109;LA CISTERNA;234;35;1419;100;30;806
13110;LA FLORIDA;428;444;2455;176;412;1742
13111;LA GRANJA;342;0;507;101;0;303
13112;LA PINTANA;158;0;877;33;0;478
13113;LA REINA;178;768;292;82;729;258
13114;LAS CONDES;322;2298;424;262;2169;350
13115;LO BARNECHEA;132;990;170;51;967;111
13116;LO ESPEJO;103;0;209;15;0;109
13117;LO PRADO;161;0;88;47;0;63
13118;MACUL;0;96;430;0;91;290
13119;MAIPÚ;969;229;4337;636;201;2990
13120;ÑUÑOA;1060;886;634;708;824;352
13121;PEDRO AGUIRRE CERDA;154;0;276;35;0;182
13122;PEÑALOLÉN;326;640;640;113;579;437
13123;PROVIDENCIA;1144;1223;433;1017;1049;315
13124;PUDAHUEL;148;52;746;45;51;453
13125;QUILICURA;268;127;1432;102;121;949
13126;QUINTA NORMAL;423;0;600;157;0;382
13127;RECOLETA;700;74;706;221;70;511
13128;RENCA;363;0;623;182;0;323
13129;SAN JOAQUÍN;145;0;201;40;0;109
13130;SAN MIGUEL;573;126;1056;249;108;642
13131;SAN RAMÓN;211;0;350;45;0;234
13132;VITACURA;152;1217;30;142;1149;29
13201;PUENTE ALTO;550;227;3562;251;204;2447
13202;PIRQUE;41;49;33;16;45;12
13203;SAN JOSÉ DE MAIPO;72;0;67;20;0;41
13301;COLINA;672;677;454;298;654;275
13302;LAMPA;206;0;517;47;0;264
13303;TILTIL;69;0;36;27;0;16
13401;SAN BERNARDO;652;233;1488;219;212;991
13402;BUIN;479;211;414;159;196;265
13403;CALERA DE TANGO;36;127;55;10;119;27
13404;PAINE;251;20;424;88;19;319
13501;MELIPILLA;443;121;1028;155;112;627
13502;ALHUÉ;38;0;0;21;0;0
13503;CURACAVÍ;121;10;203;38;9;114
13504;MARÍA PINTO;67;0;0;20;0;0
13505;SAN PEDRO;53;0;0;12;0;0
13601;TALAGANTE;355;169;955;206;156;529
13602;EL MONTE;21;0;82;6;0;32
13603;ISLA DE MAIPO;148;0;137;66;0;89
